date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:57:23	28821/28821	---MCZ	200	added ('OK')	text/html	etag:W/%225bbd7bea-7095%22	https://themesbrand.com/agroxa/green/layouts-collapsed.html	C:/My%20Web%20Sites/dashboaredcrean/themesbrand.com/agroxa/green/layouts-collapsed.html	(from )
19:57:24	4175/4175	---MCZ	200	added ('OK')	text/html	etag:W/%225aff8a5e-5141%22	https://themesbrand.com/robots.txt		(from )
19:57:25	433/433	---M--	200	added ('OK')	text/css	etag:%225bbd7bea-1b1%22	https://themesbrand.com/agroxa/plugins/morris/morris.css	C:/My%20Web%20Sites/dashboaredcrean/themesbrand.com/agroxa/plugins/morris/morris.css	(from https://themesbrand.com/agroxa/green/layouts-collapsed.html)
19:57:26	104682/104682	---M--	200	added ('OK')	image/x-icon	etag:%225bbd7bea-198ea%22	https://themesbrand.com/agroxa/green/assets/images/favicon.ico	C:/My%20Web%20Sites/dashboaredcrean/themesbrand.com/agroxa/green/assets/images/favicon.ico	(from https://themesbrand.com/agroxa/green/layouts-collapsed.html)
19:57:27	2615/2615	---M--	200	added ('OK')	text/css	etag:%225bbd7bea-a37%22	https://themesbrand.com/agroxa/green/assets/css/metismenu.min.css	C:/My%20Web%20Sites/dashboaredcrean/themesbrand.com/agroxa/green/assets/css/metismenu.min.css	(from https://themesbrand.com/agroxa/green/layouts-collapsed.html)
19:57:27	140936/140936	---M--	200	added ('OK')	text/css	etag:%225bbd7bea-22688%22	https://themesbrand.com/agroxa/green/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/dashboaredcrean/themesbrand.com/agroxa/green/assets/css/bootstrap.min.css	(from https://themesbrand.com/agroxa/green/layouts-collapsed.html)
19:57:28	55614/55614	---M--	200	added ('OK')	text/css	etag:%225bbd7bea-d93e%22	https://themesbrand.com/agroxa/green/assets/css/style.css	C:/My%20Web%20Sites/dashboaredcrean/themesbrand.com/agroxa/green/assets/css/style.css	(from https://themesbrand.com/agroxa/green/layouts-collapsed.html)
19:57:28	216741/216741	---M--	200	added ('OK')	text/css	etag:%225bbd7bea-34ea5%22	https://themesbrand.com/agroxa/green/assets/css/icons.css	C:/My%20Web%20Sites/dashboaredcrean/themesbrand.com/agroxa/green/assets/css/icons.css	(from https://themesbrand.com/agroxa/green/layouts-collapsed.html)
19:57:29	28633/28633	---MCZ	200	added ('OK')	text/html	etag:W/%225bbd7bea-6fd9%22	https://themesbrand.com/agroxa/green/index.html	C:/My%20Web%20Sites/dashboaredcrean/themesbrand.com/agroxa/green/index.html	(from https://themesbrand.com/agroxa/green/layouts-collapsed.html)
19:57:29	3009/3009	---M--	200	added ('OK')	image/png	etag:%225bbd7bea-bc1%22	https://themesbrand.com/agroxa/green/assets/images/logo.png	C:/My%20Web%20Sites/dashboaredcrean/themesbrand.com/agroxa/green/assets/images/logo.png	(from https://themesbrand.com/agroxa/green/layouts-collapsed.html)
